monkey,gain__distortion,gain__risk_aversion,gain__precision,gain__side_bias,gain_risky__n_trial,loss__distortion,loss__risk_aversion,loss__precision,loss__side_bias,loss_risky__n_trial,loss__gain__same_p__sig_steep,loss__gain__same_p__sig_mid,loss__gain__same_x__sig_steep,loss__gain__same_x__sig_mid,loss__loss__same_p__sig_steep,loss__loss__same_p__sig_mid,loss__loss__same_x__sig_steep,loss__loss__same_x__sig_mid,loss__gain_vs_loss__sig_steep,loss__gain_vs_loss__sig_mid,DS,EloRating,weight,oldDS,gender
Abr,0.7088499593376115,0.6276491098754235,0.19984780904626412,-0.1217901683144973,6563,0.6600149730884035,-0.2832233687277058,0.2411110106617539,-0.03304102794036784,6569,0.7521102733172638,0.8404472896873608,1.6108073711294548,0.3930296319572932,0.9268437749932765,-0.0937564635289573,1.1580323143107352,-0.008847213574165215,0.8787469653157485,0.4634817720845628,61.7187035732909,1340,12.7,25.13,1
Ala,1.400299754915755,0.17845563295708955,0.11239244817365789,0.020795356280697785,8595,1.0453201014510998,-0.5426225445691338,0.13027474794039925,-0.046323944260985045,8542,3.217773899687974,-0.005504953910296464,4.925191856345713,-0.05975509918248106,1.2732574577869122,0.42456943056100227,2.457234244850813,0.10091222032253395,3.5526704467358208,0.06186527120920142,49.880674109447156,1100,12.6,41.58,1
Bar,0.9739306746837996,-0.12863596939715657,0.13186927948830957,-0.027023560302970633,10704,0.7759195811111224,-0.6406722032618317,0.11848498952735602,-0.077703127200274,10709,2.2963106974162932,0.20156481866473516,1.9871327010110935,0.09511586992966546,1.4599677258261963,0.36924906790013984,3.565501028829124,0.20166303549452366,1.980683080405043,0.3722608170895079,11.109732878922848,888,10.6,19.55,1
Ces,0.7019110266772476,0.5039421052052868,0.1641584493836841,0.14681042493051302,5781,0.9338151200251639,-0.19220194525212606,0.1825957106135851,0.0852512083073613,5779,1.0268659088569987,-0.7443960635295005,1.977279675217505,-0.3646271200277159,1.4145043050746209,-0.3352546917487051,1.6118269473289137,-0.2855311315045264,1.0950522947775219,-0.8339586473611225,-53.54525502670433,741,6.8,-30.86,1
Dor,0.39576664602244943,0.5138863518217794,0.49905731045460466,0.8181631011061814,1081,0.45211840928422864,-0.7173712959757117,0.5216733316036508,0.440034467351375,1066,0.6107557967062226,-1.6463734332237925,0.9942084617628982,-1.022503806434116,0.4119533749854322,-2.164368749718938,0.6175593393887437,-1.197623109531433,0.5772927299569246,-1.232758227203086,-95.6200951825952,516,4.9,-27.18,2
Nem,0.7956206797086017,0.3603455599793986,0.1960110155364162,0.1768641864067538,5163,0.8050478343934191,-0.24089090230360782,0.13095538592682746,0.12559629149652285,5159,1.1068986378696042,-0.7910602253185167,1.737129532943333,-0.5125917440175891,1.7195279580523584,-0.7360038257931131,2.0129742776804886,-0.4762893295732235,1.167382984403504,-1.0209064210648457,5.0400358304608375,827,9.2,11.75,2
Pac,0.7413909541237119,0.3448542526395015,0.16080970045695156,0.1365731873262058,2450,0.5623987402294605,-0.7459312371497915,0.23973530688596645,-0.24246890835448823,2444,1.2604720564414658,-0.21124433274987223,1.7081387827300507,-0.18394453304710726,0.4880036179960948,1.8616784834412807,0.9768422341786679,0.9919843130780975,0.7976451426350155,0.3057892277109078,55.468643326014394,1482,13.8,8.83,1
Yoh,1.08707843483617,0.7248265660468995,0.26780625581329676,0.5415447384865881,2965,0.9100293925528788,-0.6427898806725916,0.2447804115470212,-0.12967962799686572,2960,0.4538426556852711,-2.4580608714075645,1.1701039032763159,-0.8936484543590869,0.607055558967052,0.6411132786464231,1.3505783144774954,0.25960085385428855,1.024804872750125,-0.4177453593397145,-53.934681197181185,914,10.0,-37.11,2
