,distortion,precision,risk_aversion,loc_bias,date_begin,date_end,monkey,condition,n,average-p
0,0.2215170430347617,3.8963934244602183,-1.5859927291169091,-20.0,2020-06-25,2020-10-25,Ola,gain,427,0.9509445038041097
0,0.01,2.1997102215274635,-1.0033169756349176,-12.717943658652496,2020-06-25,2020-10-25,Ola,loss,437,0.9721145032876392
0,2.8569524286715278,3.60146207490274,-0.5948325690969178,9.55837520414543,2020-06-25,2020-10-25,Abr,gain,929,0.7732811376994934
0,2.276795006107357,1.2099366061303698,-1.236375869498191,1.856793028075045,2020-06-25,2020-10-25,Abr,loss,979,0.6435006970765135
0,4.0,4.081085122102122,-0.5182848672699065,5.66509429948854,2020-06-25,2020-10-25,Nem,gain,398,0.6248666438965034
0,1.4985198750038171,1.2570155069917346,-0.5608611584542988,0.04256037661098397,2020-06-25,2020-10-22,Nem,loss,392,0.5263812652015966
0,0.9779042121952485,1.1198039855599122,-0.4810521128242938,0.8254324298223965,2020-06-25,2020-10-25,Alv,gain,908,0.5688198978088642
0,2.3478764389158098,2.3007508340285474,-1.1462753106085684,1.4304847239623681,2020-06-25,2020-10-25,Alv,loss,891,0.5489643261183297
0,0.01,3.2927632903287556,0.75,3.1376846074835445,2020-06-25,2020-10-25,Ner,gain,214,0.5855189552960312
0,0.4715388719536325,3.251307648459991,0.47911389027544987,3.752084429903815,2020-06-25,2020-10-25,Ner,loss,243,0.5810191306448911
0,4.0,1.777499088074408,-0.5943126029137358,2.267815873122922,2020-06-25,2020-10-25,Ala,gain,857,0.5988525314793819
0,2.951640425205416,1.0242060121014602,-1.1625223504342057,0.2657276674385778,2020-06-25,2020-10-25,Ala,loss,807,0.5704352491777737
0,2.005,5.005,-1.125,0.0,2020-06-25,2020-10-25,Bar,gain,1169,0.5373191873870489
0,2.005,5.005,-1.125,0.0,2020-06-25,2020-10-25,Bar,loss,1160,0.5114024578681109
0,4.0,4.553824995216484,-0.8326651404699095,6.443544074681775,2020-06-25,2020-10-25,Ces,gain,655,0.6197109769129598
0,3.440494450083692,1.5780842919904725,-0.31813905972039325,0.7132463080616767,2020-06-25,2020-10-25,Ces,loss,654,0.556897760141482
0,0.6155782964999431,1.494466639416077,-0.5992652917135293,4.425725560260744,2020-06-25,2020-10-25,Oli,gain,485,0.8134630889925296
0,1.552548276261169,0.8852459137529367,-1.0442352717210444,0.9839293162785823,2020-06-25,2020-10-25,Oli,loss,516,0.5805091037267375
0,4.0,6.619806781374278,-0.017104044546656982,9.021485668881201,2020-06-25,2020-10-22,Pac,gain,282,0.5943512994568354
0,2.89225582015952,1.7283733954375413,-0.4659489957774823,0.6677595076748063,2020-06-25,2020-10-22,Pac,loss,263,0.5296728724937665
0,4.0,1.9639490624542617,0.577938863442933,1.0409864469764143,2020-06-25,2020-10-25,Dor,gain,315,0.5794654250042307
0,2.9222983311129433,1.3708167126114472,-1.751244114892547,0.33568540611898895,2020-06-25,2020-10-25,Dor,loss,310,0.556862728705431
0,4.0,4.615044526939007,0.07283096817034578,10.56608427516247,2020-06-25,2020-10-21,Anu,gain,406,0.7525886652033181
0,0.01,1.5652388110887365,-1.4259808379385388,3.642806352434918,2020-06-25,2020-10-21,Anu,loss,393,0.7128138626071876
0,4.0,9.417388848403096,0.32615724872960267,0.05527681845749257,2020-06-25,2020-10-22,Yoh,gain,489,0.5005032452539478
0,0.31609748955166483,1.3675944748089017,-0.34786426497407025,-0.40772765303553604,2020-06-25,2020-10-22,Yoh,loss,466,0.5202257546367289
0,4.0,4.353785082322488,0.24761894843715204,-5.670636077425913,2020-07-14,2020-10-24,Las,gain,1040,0.5835695288298727
0,0.01,1.6102781735126444,-0.2572160123017587,-1.9781656606961278,2020-07-14,2020-10-24,Las,loss,1045,0.5764750640509505
0,0.628878812144784,5.8601043075223895,0.75,10.179630351177718,2020-06-26,2020-10-25,Yin,gain,195,0.6569208354464933
0,0.5124421770640989,2.5089232076950716,0.75,4.098019628463384,2020-06-26,2020-10-25,Yin,loss,179,0.6325990637377277
