,distortion,precision,risk_aversion,date_begin,date_end,monkey,condition,n
0,1.3276297915699538,0.2872480792275078,0.20655029047113552,2020-02-22,2020-06-22,Ala,gain,8326
0,1.052252697678462,0.23665099817854585,-0.5848200231358437,2020-02-22,2020-06-22,Ala,loss,8285
0,0.7495943916977105,0.9372147288638287,0.10150604036425721,2020-02-22,2020-06-22,Alv,gain,9996
0,0.48712622652401716,0.6741606451167367,-0.35831818074499844,2020-02-22,2020-06-22,Alv,loss,9988
0,0.9174919129845395,0.5009870639704035,-0.11053796700876845,2020-02-22,2020-06-22,Bar,gain,10361
0,0.7670193394918364,0.20371706847277465,-0.6378815871709644,2020-02-22,2020-06-22,Bar,loss,10365
0,1.8,8.07841845509512,0.99,2020-02-23,2020-06-22,Ola,gain,5235
0,0.5160302846681442,5.73211971756915,-0.6579871520783548,2020-02-23,2020-06-22,Ola,loss,5237
0,0.2,4.141394211573685,0.99,2020-05-20,2020-06-18,Yin,gain,389
0,0.2963241868658417,10.0,0.99,2020-05-20,2020-06-19,Yin,loss,382
0,0.6739160631014468,0.3338896831584759,0.6451853378396861,2020-02-22,2020-06-22,Abr,gain,6299
0,0.6106971898927989,0.48680969537254654,-0.3900981695815877,2020-02-22,2020-06-22,Abr,loss,6302
0,0.7878692221175231,0.4807142580523833,0.40665157612373426,2020-02-22,2020-06-22,Nem,gain,5008
0,0.743027584176668,0.38122783891840006,-0.2344833692611206,2020-02-22,2020-06-22,Nem,loss,5001
0,0.666328868062724,0.33043077611226196,0.5685959666327985,2020-02-23,2020-06-22,Ces,gain,5636
0,0.897921918498676,0.48524130122281167,-0.21935698156814584,2020-02-23,2020-06-22,Ces,loss,5632
0,0.4803256684674536,0.4128373139458483,0.4208290517309154,2020-02-23,2020-06-22,Anu,gain,3494
0,0.3603213992841097,0.7883124961810563,-0.5203874815807027,2020-02-23,2020-06-22,Anu,loss,3480
0,0.935791096472772,0.48334770861346105,0.712015970483327,2020-02-23,2020-06-22,Yoh,gain,2851
0,0.8001644891582302,0.3834591383952768,-0.6673725049534803,2020-02-23,2020-06-22,Yoh,loss,2840
0,0.6562300764318281,0.7042643571692078,0.3612498866802882,2020-02-26,2020-06-22,Oli,gain,2034
0,0.5984525093744678,0.34118152214986724,-0.6098737942106696,2020-02-26,2020-06-22,Oli,loss,2032
0,0.7155536864355063,0.39768085041955337,0.3898458774998379,2020-03-03,2020-06-22,Pac,gain,2450
0,0.5390391453429033,0.4472191579592713,-0.7799556203010937,2020-03-03,2020-06-22,Pac,loss,2444
0,0.2,2.5085091894513685,0.43244689977194967,2020-04-19,2020-06-04,Ner,gain,503
0,0.4435639728781206,2.092978568833563,0.3801199341107799,2020-04-19,2020-06-04,Ner,loss,501
0,0.43979327641302796,0.5899722900041526,0.5634963071669968,2020-05-20,2020-06-22,Dor,gain,1077
0,0.49412151594367437,0.623430041402662,-0.7670023086684007,2020-05-20,2020-06-22,Dor,loss,1059
