,Parameter,Used to simulate,Recovered
0,distortion,0.6003520973748881,0.32549974577918617
1,precision,5.8247999529623735,1.7975707966542633
2,risk_aversion,-0.8220112273246575,-0.14212165719678882
3,distortion,0.7242497293995482,0.5699614666323728
4,precision,1.038151471950413,0.7517113564169223
5,risk_aversion,0.3540542571168164,0.262683678589772
6,distortion,0.3464147237774077,0.42926698339672154
7,precision,8.914587040582841,9.625186243518739
8,risk_aversion,0.6838818318326636,0.16362272579733117
9,distortion,1.2968932328912641,1.4680376202564245
10,precision,2.4793282910793737,10.0
11,risk_aversion,0.4759250271676758,0.3681710478844228
12,distortion,1.705202328885944,1.0662698278167793
13,precision,4.301908498473189,3.017582651756658
14,risk_aversion,-0.5616364758466234,-0.42974859979671803
15,distortion,1.655600916967981,0.5264882148029685
16,precision,9.294371907292206,10.0
17,risk_aversion,0.4768292949425179,-0.7330503748684514
18,distortion,0.4723168968845034,0.2
19,precision,8.800049852070808,10.0
20,risk_aversion,-0.6762657826785201,-0.7825229919091107
21,distortion,1.6662335429570678,1.8
22,precision,4.355453261903902,4.198225497815464
23,risk_aversion,0.3295049248672579,0.27963912390620255
24,distortion,1.679350415764456,0.6368116206866219
25,precision,4.180085108426942,1.41049674437621
26,risk_aversion,-0.2039116971407281,0.3496015959705109
27,distortion,0.5187287427707463,0.2860907186410591
28,precision,5.989772774217923,4.347166053035328
29,risk_aversion,-0.14203719170814888,-0.45173290884514355
30,distortion,0.7787199304752361,0.9092282634950177
31,precision,5.155980422549466,5.674019374972005
32,risk_aversion,-0.5411426884200582,-0.7867677860650428
33,distortion,0.40054383533937943,0.36276022324233004
34,precision,0.2213561969908544,0.25679796894697804
35,risk_aversion,0.5546791021312063,0.6076566134704442
36,distortion,1.6201098241377159,1.8
37,precision,9.844187427929242,10.0
38,risk_aversion,-0.42920366716325997,-0.0762964127458928
39,distortion,0.2799125227782586,0.7286227637684846
40,precision,8.754628235983306,2.44899024510819
41,risk_aversion,0.7950828424221301,0.1075894661566403
42,distortion,0.2934777271913994,0.7077533715970047
43,precision,6.741049511315046,1.6189369707313641
44,risk_aversion,0.3142920447684341,0.36057718101909475
45,distortion,1.62684935943584,0.6225491252127124
46,precision,9.638608183128461,4.446232383386361
47,risk_aversion,-0.93525930815364,-0.41165091423155925
48,distortion,0.505880040191399,0.917809572283124
49,precision,4.976538605037681,6.256206144806577
50,risk_aversion,-0.4835272170817655,-0.821751640751027
51,distortion,0.40096007919002247,0.5403111691068655
52,precision,1.9918834887850012,0.945987453785527
53,risk_aversion,-0.8885542988192283,-0.3740985022094438
54,distortion,1.7454073951957612,0.2
55,precision,8.863125553656673,5.181717677636971
56,risk_aversion,0.8073820538791421,0.058683843463369974
57,distortion,1.7296083595594083,0.427302247004349
58,precision,8.796875806349329,2.336517938861586
59,risk_aversion,0.662427654764465,0.99
60,distortion,0.9371167085555623,0.9427052442822496
61,precision,9.130320058487776,1.6481379666184222
62,risk_aversion,0.8841709846304109,0.5557305586366328
63,distortion,1.2329248869158378,1.8
64,precision,2.6720168416517622,3.9799837849813366
65,risk_aversion,-0.764407948076036,-0.7690411373165077
66,distortion,0.60277651050195,1.7128817494397368
67,precision,8.476736368048336,4.09829586249804
68,risk_aversion,0.10809894350776039,0.99
69,distortion,1.0131312267315733,1.8
70,precision,3.0273257602815193,1.977942585982702
71,risk_aversion,0.19107847174415982,0.6723947691903297
72,distortion,1.283634941763385,1.8
73,precision,6.922522240519995,6.1365356303570335
74,risk_aversion,0.17314436146170675,-0.0514072387203893
75,distortion,1.754142984197892,0.7817784731467268
76,precision,4.942414647095592,2.4253465535567678
77,risk_aversion,-0.7538586910124145,-0.4056470838522951
78,distortion,0.8601235126323308,0.2
79,precision,8.217490472737978,5.248133462859914
80,risk_aversion,-0.23398104420073784,-0.23126789389060695
81,distortion,1.3205725852249193,1.085417268180515
82,precision,7.898870414413274,2.8870124372855797
83,risk_aversion,-0.17970105318475027,0.01958665954908088
84,distortion,1.5570990018883526,1.0029208597647243
85,precision,3.3115773381477673,1.0725489362653167
86,risk_aversion,0.3505000061435424,0.5389060687006082
87,distortion,1.4541476230103756,1.4208797166071967
88,precision,9.96926123390165,3.969657165245742
89,risk_aversion,-0.3293717223334479,0.12352283858153425
