,distortion,precision,risk_aversion,loc_bias,date_begin,date_end,monkey,condition,n,loss
0,0.25,1.9711998566853937,-1.0115515782622098,-10.0,2020-06-25,2020-10-25,Ola,gain,427,-0.051392033469764134
0,0.25,0.13457623580215508,-0.8552264288149033,-1.1269419224984072,2020-06-25,2020-10-25,Ola,loss,437,-0.02270769615007324
0,1.0790002850386224,1.6024365161997651,-0.3051053246943257,4.258587143565684,2020-06-25,2020-10-25,Abr,gain,929,-0.25622998024830196
0,1.04747911385486,0.7337822545429733,-0.19299875811572956,1.1950666273919717,2020-06-25,2020-10-25,Abr,loss,979,-0.40963865658373755
0,1.9849872077671584,1.516459252874422,-0.16740667572142284,2.2762645762704223,2020-06-25,2020-10-25,Nem,gain,398,-0.46600858693037683
0,4.0,1.993821122654624,-0.6627365430637832,0.8498644152912809,2020-06-25,2020-10-22,Nem,loss,392,-0.6436002629492128
0,0.977901007175882,1.1197964954573811,-0.48104759286278953,0.8254222346197015,2020-06-25,2020-10-25,Alv,gain,908,-0.5641914190191413
0,0.653519203316397,0.22502523846805192,-0.5565705158734991,0.1998602103990219,2020-06-25,2020-10-25,Alv,loss,891,-0.475449614245489
0,0.25,0.49821297671505793,0.75,0.6544846822762337,2020-06-25,2020-10-25,Ner,gain,214,-0.49391542469359984
0,0.47153516782376637,3.251519560045205,0.4791540079474453,3.7523386845981666,2020-06-25,2020-10-25,Ner,loss,243,-0.5429715955690528
0,1.019356898285674,0.3216585635053386,0.07071645663918986,0.3575448310707077,2020-06-25,2020-10-25,Ala,gain,857,-0.46240409588947456
0,0.8698734715118562,0.174481702497078,-0.5949800093235291,0.17653585000928698,2020-06-25,2020-10-25,Ala,loss,807,-0.41477367339590626
0,0.707099747290778,0.5318703842122634,-0.28384183319096584,0.3431949227994448,2020-06-25,2020-10-25,Bar,gain,1169,-0.5380277163697367
0,0.6937893686468182,0.2299454009494854,-0.45510344360342714,0.12290174531684372,2020-06-25,2020-10-25,Bar,loss,1160,-0.504543811786538
0,0.7928788053600594,0.5157928557736591,0.10600961394545061,0.7570739797956941,2020-06-25,2020-10-25,Ces,gain,655,-0.455477719373958
0,4.0,2.774968357880988,-0.5161363540700841,2.0460321334683944,2020-06-25,2020-10-25,Ces,loss,654,-0.5895868200779023
0,0.6155856217241586,1.494472185114154,-0.599270657754071,4.425764324829999,2020-06-25,2020-10-25,Oli,gain,485,-0.2064547264330702
0,1.0340218184569085,4.073075718359645,-1.3106284389416372,4.098888859747953,2020-06-25,2020-10-25,Oli,loss,516,-0.566503321316972
0,1.898183193472336,1.8050590537812523,0.23919170281443974,2.388442009694381,2020-06-25,2020-10-22,Pac,gain,282,-0.5167820097154658
0,0.7790517978165488,0.35550725934213473,-0.6119592643318922,0.1356594062043033,2020-06-25,2020-10-22,Pac,loss,263,-0.5660594091634691
0,0.8845230117733793,0.2314720238613666,0.5812570961005069,0.34861590478304105,2020-06-25,2020-10-25,Dor,gain,315,-0.4132143214595675
0,0.6895945466469969,0.24753595623717767,-0.6852345177879016,0.21291632192896653,2020-06-25,2020-10-25,Dor,loss,310,-0.4833454907022555
0,4.0,1.5184088480593239,0.44895324805982656,3.7350458829808,2020-06-25,2020-10-21,Anu,gain,406,-0.26981544034382887
0,0.5429539979274465,0.27990780075588784,-0.4367866732479031,0.6984689112876175,2020-06-25,2020-10-21,Anu,loss,393,-0.2978235708168476
0,4.0,9.420229394606524,0.32602255805438757,0.055312736785068664,2020-06-25,2020-10-22,Yoh,gain,489,-0.6921411962535271
0,0.35749276556774146,0.6032586995486304,-0.4639645795687878,-0.22400572353042472,2020-06-25,2020-10-22,Yoh,loss,466,-0.6406435987115046
0,0.9059548501224772,0.7104942538309331,0.5343592945381206,-0.8874300494251112,2020-07-14,2020-10-24,Las,gain,1040,-0.5212027249605492
0,0.25,2.2978884097904744,-0.8484885710093655,-2.504463954572492,2020-07-14,2020-10-24,Las,loss,1045,-0.5527477637504976
0,0.6388528126953169,5.708717615015264,0.75,9.91458979072019,2020-06-26,2020-10-25,Yin,gain,195,-0.42019203502613484
0,0.5124394273145608,2.5089005852649904,0.75,4.09798543083251,2020-06-26,2020-10-25,Yin,loss,179,-0.4579184481335021
