,distortion,precision,risk_aversion,date_begin,date_end,monkey,condition,n
0,0.2,10.0,0.99,2020-06-25,2020-10-25,Ola,gain,837
0,0.2596903716856736,5.822619945225822,-0.99,2020-06-25,2020-10-25,Ola,loss,844
0,1.037590883503578,3.411749616272356,0.4086515289229053,2020-06-25,2020-10-25,Abr,gain,1873
0,0.6436839277603266,0.4966323917982544,-0.40675614086409945,2020-06-25,2020-10-25,Abr,loss,1874
0,1.5002984868649891,2.5629269421698626,-0.17251898067976576,2020-06-25,2020-10-25,Nem,gain,800
0,0.6180096280518853,0.3041221860439945,-0.43758298881275304,2020-06-25,2020-10-25,Nem,loss,803
0,1.2588607081153784,1.1658372008385804,-0.34578777262467647,2020-06-25,2020-10-25,Alv,gain,1825
0,0.7765568745025209,0.3348866263305928,-0.4936885243048738,2020-06-25,2020-10-25,Alv,loss,1824
0,0.2,1.5729155876520684,0.99,2020-06-25,2020-10-25,Ner,gain,465
0,1.7677680650552525,6.214167442840885,0.5353312342928498,2020-06-25,2020-10-25,Ner,loss,462
0,1.3413546462344748,0.5482658215019041,0.08171672789811994,2020-06-25,2020-10-25,Ala,gain,1663
0,0.8638823294108969,0.26113297495264476,-0.5804180133343163,2020-06-25,2020-10-25,Ala,loss,1658
0,0.7215878915273332,0.727562127524841,-0.2069169383904096,2020-06-25,2020-10-25,Bar,gain,2335
0,0.6286141587218131,0.2650119273984453,-0.4243452555865086,2020-06-25,2020-10-25,Bar,loss,2329
0,0.8182770751493809,1.0136310717616257,-0.05142839578544891,2020-06-25,2020-10-25,Ces,gain,1297
0,0.94415237684982,0.3169841380853655,-0.4715492329535469,2020-06-25,2020-10-25,Ces,loss,1291
0,0.7787427142408848,1.9225803593726587,-0.44175649778504,2020-06-25,2020-10-25,Oli,gain,1021
0,0.6377955013722281,0.3575019990858413,-0.4955513617424102,2020-06-25,2020-10-25,Oli,loss,1015
0,0.4264616074860845,1.561912334572597,0.99,2020-06-25,2020-10-22,Pac,gain,543
0,0.8908730759734372,0.4283732411455023,-0.5992113073974605,2020-06-25,2020-10-22,Pac,loss,532
0,0.9922526417086074,0.41540066714654195,0.6719019410042575,2020-06-25,2020-10-25,Dor,gain,622
0,0.7270492870764438,0.2888344970065536,-0.6909418046598802,2020-06-25,2020-10-25,Dor,loss,621
0,0.5374667310623911,0.8343788025538695,0.5971908883214884,2020-06-25,2020-10-21,Anu,gain,805
0,0.48813131205424093,0.5054221542910847,-0.45156065854431526,2020-06-25,2020-10-21,Anu,loss,802
0,1.8,9.472149512841394,-0.11659088644793152,2020-06-25,2020-10-22,Yoh,gain,957
0,0.49376586743678835,0.569557077603801,-0.488830054387355,2020-06-25,2020-10-22,Yoh,loss,944
0,0.9149503886107354,1.0052358422760979,0.6275155634889308,2020-07-14,2020-10-24,Las,gain,2107
0,0.38283702465108793,1.1059637748542808,-0.49078915684884994,2020-07-14,2020-10-24,Las,loss,2102
0,0.2701441297230801,1.3673363956557827,0.817147111764551,2020-06-26,2020-10-25,Yin,gain,380
0,0.2,10.0,-0.99,2020-06-26,2020-10-25,Yin,loss,378
