,distortion,precision,risk_aversion,loc_bias,date_begin,date_end,monkey,condition,n,loss
0,3.2310385053250283,0.8435804734419138,0.6858019048518451,-4.177721582248926,2020-06-25,2020-10-25,Ola,gain,410,-0.052238938549193044
0,0.25,0.4996818722667749,-0.4956934817890414,-2.0464838665822214,2020-06-25,2020-10-25,Ola,loss,407,-0.09946758207473695
0,0.5461067267856866,0.4222050052313612,0.45363807286690677,1.2439806854874296,2020-06-25,2020-10-25,Abr,gain,944,-0.22248927705911117
0,0.8375275841281092,1.481037560005577,-1.7585020336595254,2.215693691753299,2020-06-25,2020-10-25,Abr,loss,895,-0.4678594444504288
0,1.9694597171054542,5.545476044157433,-0.3749352276236906,0.4210666306975987,2020-06-25,2020-10-25,Nem,gain,402,-0.6850071346736597
0,3.4709065140432624,5.6935890125165844,-0.36539843290641827,1.8036855019896,2020-06-25,2020-10-25,Nem,loss,411,-0.6631347116638484
0,1.5638219581529125,0.5280373270144916,-0.08830496428718276,0.9644245342865337,2020-06-25,2020-10-25,Alv,gain,917,-0.3953783888109037
0,0.9109962859182942,0.34615155539309184,-0.3769296314563937,0.37318962005598594,2020-06-25,2020-10-25,Alv,loss,933,-0.5129576107657158
0,0.25,0.8912907682669843,0.75,3.7745325946263715,2020-06-25,2020-10-25,Ner,gain,251,-0.08020489234131027
0,4.0,1.8447090001735282,0.1712744852990816,5.534945621146443,2020-06-25,2020-10-25,Ner,loss,219,-0.19457976860470458
0,3.5333592356576955,0.5267464310041472,0.15255154998856882,1.0988929677448165,2020-06-25,2020-10-25,Ala,gain,806,-0.3696589223023396
0,0.9068798952565769,0.249383798380211,-0.6371888266409362,0.3485312785264682,2020-06-25,2020-10-25,Ala,loss,851,-0.4300438037256707
0,0.6631327932031863,0.45827060040937706,-0.05943894166046444,0.8494467132673181,2020-06-25,2020-10-25,Bar,gain,1166,-0.39679029485070116
0,0.5529438905101806,0.21731387355622558,-0.3986964529890873,0.29072789478048194,2020-06-25,2020-10-25,Bar,loss,1169,-0.43417735643865835
0,3.971482962207437,3.1408814368044906,-0.5951350273240783,5.520314840915892,2020-06-25,2020-10-25,Ces,gain,642,-0.41373890561066534
0,3.9358539117662663,2.279630440454514,-1.0387798697226598,1.7869166968855954,2020-06-25,2020-10-25,Ces,loss,637,-0.5712410637180853
0,2.1534825939610713,1.6635130094217965,-0.03501981676468881,1.8993651149017243,2020-06-25,2020-10-25,Oli,gain,536,-0.5336410713600026
0,0.7892737149088904,0.28035606136978497,-0.5754039154128887,0.1946931829624172,2020-06-25,2020-10-25,Oli,loss,499,-0.5257018230610733
0,3.0060887778960237,2.4712279427406605,0.75,4.1485656602766054,2020-06-25,2020-10-22,Pac,gain,261,-0.4340369562882328
0,1.0640480760315658,0.5042186620361195,-0.5907058232079039,0.07319329777068424,2020-06-25,2020-10-22,Pac,loss,269,-0.6209382217888879
0,1.0407145276373602,0.3622284985919882,0.75,0.47885702545611375,2020-06-25,2020-10-25,Dor,gain,307,-0.4649685562829782
0,0.6867649179063453,0.25631647657503265,-0.6134853494789686,0.1880337751588747,2020-06-25,2020-10-25,Dor,loss,311,-0.5004856872892388
0,0.6628741521780814,0.38462983414600443,0.4932711667550877,0.7302563290555908,2020-06-25,2020-10-21,Anu,gain,399,-0.3911933878720021
0,0.5959626356795461,0.2463075926067422,-0.47230105802793376,0.3979425850651659,2020-06-25,2020-10-21,Anu,loss,409,-0.42204490150049806
0,0.3588334613113272,1.934312212280132,-0.20920999791385395,5.202547674921946,2020-06-25,2020-10-08,Yoh,gain,468,-0.22809116601867435
0,0.618556887063066,0.38763117509112077,-0.48191561957559903,0.46911561561945947,2020-06-25,2020-10-08,Yoh,loss,478,-0.5059208077594742
0,0.9585556881012961,0.8875645497000226,0.6888765620401468,-0.9059911088710512,2020-07-14,2020-10-24,Las,gain,1067,-0.5637221855604455
0,0.4041284939019577,1.1850300136970495,-0.4007943056051781,-0.9670227066320791,2020-07-15,2020-10-24,Las,loss,1057,-0.6093092911216379
0,0.402882299369116,0.6047097235109373,0.75,1.3084159313816672,2020-06-26,2020-10-25,Yin,gain,185,-0.33455390757221154
0,4.0,4.098845088389925,0.5744778441668901,9.637506065199089,2020-06-26,2020-10-25,Yin,loss,199,-0.3142575152554654
