,Parameter,Used to simulate,Recovered
0,distortion,1.4396238977089928,1.8
1,precision,7.603281312193071,5.298545173669231
2,risk_aversion,-0.2048209508597204,-0.99
3,distortion,0.5994403344596608,1.8
4,precision,2.9748067149929724,3.6273887356516203
5,risk_aversion,-0.20618281958650198,0.7417690524606453
6,distortion,1.225279590850899,1.8
7,precision,5.575814147842058,10.0
8,risk_aversion,0.10596004800083136,0.99
9,distortion,0.5060635789620991,1.8
10,precision,7.458243194148546,0.8805090633872041
11,risk_aversion,0.6016058782746994,0.6679573367330766
12,distortion,1.5929127957709335,1.8
13,precision,2.2386209057492374,1.6204322942183227
14,risk_aversion,0.39447676398147125,0.2830862467404757
15,distortion,1.4970415144575122,0.2
16,precision,8.483580885922814,6.169525324761801
17,risk_aversion,-0.06402391183711365,-0.45060744513969175
18,distortion,1.4752941967404485,1.8
19,precision,9.8053265804711,6.6058647694445165
20,risk_aversion,0.3011093635227957,0.99
21,distortion,1.3003646068138752,0.2
22,precision,9.985197093152609,4.717530712333253
23,risk_aversion,0.9759186403514153,0.99
24,distortion,0.8001310982444667,1.6965861964949696
25,precision,1.2269262514385937,1.5720693254228812
26,risk_aversion,0.013839135606847686,0.5502311405990452
27,distortion,1.2083236171583538,0.2
28,precision,7.090029965527707,7.307651763135077
29,risk_aversion,-0.977339460862854,-0.3502129720275995
30,distortion,0.20815793894639026,0.2
31,precision,1.6414401995035666,10.0
32,risk_aversion,0.641656540864129,0.99
33,distortion,1.1228985873954362,1.8
34,precision,7.145467859667359,4.167924430025804
35,risk_aversion,-0.3840475415648952,-0.47263340671277526
36,distortion,1.7331580596024307,1.8
37,precision,6.465234970549128,4.043220214747285
38,risk_aversion,0.007725560580660651,0.7823477574043778
39,distortion,1.3670611126688108,0.2
40,precision,4.463960232299695,1.0395927298053191
41,risk_aversion,-0.934550384191234,0.6411471716317321
42,distortion,0.6737215575521918,1.7125793160899396
43,precision,8.520537003278669,4.755334640360548
44,risk_aversion,0.37368080155794003,0.99
45,distortion,0.6765322891763571,1.3610859862268494
46,precision,6.741103271422749,2.28736487346999
47,risk_aversion,-0.009761035704601184,0.8066260365487448
48,distortion,0.49173184368160605,0.6846784997398494
49,precision,9.806654009520795,1.996060832300708
50,risk_aversion,-0.3342923244705983,0.99
51,distortion,0.9626219430393401,1.2977877176129866
52,precision,5.535509105110698,1.1218144711008322
53,risk_aversion,0.012088907617461953,0.5826273747606665
54,distortion,1.0377940193199642,0.4451649336676401
55,precision,1.921916366899867,2.2538240807765733
56,risk_aversion,-0.8310681018457144,-0.99
57,distortion,1.1093706798794587,0.2
58,precision,7.158169327378097,9.36739582617386
59,risk_aversion,-0.0316087653556385,0.3276112240445538
60,distortion,0.20521853726423364,0.2
61,precision,6.2349064408327965,4.295503867417324
62,risk_aversion,-0.5798488566223103,-0.1893880040760574
63,distortion,0.7119685226728067,1.3359143145487982
64,precision,0.689263099743347,0.6972342335024202
65,risk_aversion,-0.22228933716502886,-0.10180496714216837
66,distortion,0.9105368387676174,0.3027475025478408
67,precision,5.439367858681757,1.2311731207068597
68,risk_aversion,-0.9613474259333783,-0.4863368148624511
69,distortion,0.33329675173562434,0.2
70,precision,5.832841525239522,4.6851766463196505
71,risk_aversion,0.5938947310567377,-0.1585058194563623
72,distortion,0.6733130565748138,0.8606858832655028
73,precision,2.2354137003519625,1.4612347988090524
74,risk_aversion,-0.13991905201215116,0.03287412216439532
75,distortion,1.6899736203629707,1.8
76,precision,4.526091066511384,5.2370127988008575
77,risk_aversion,0.6679920608576395,0.99
78,distortion,0.5118862565900335,0.2
79,precision,9.65125705725452,2.9748869305908006
80,risk_aversion,0.7851133853442933,-0.5436231232596995
81,distortion,1.4001571579501608,0.8336198669071704
82,precision,1.2005324809972184,0.573553056044364
83,risk_aversion,-0.46233148450573713,-0.1979124656796544
84,distortion,0.4960856260054202,1.8
85,precision,6.281107404392079,2.818442726366196
86,risk_aversion,-0.2845941175561504,-0.27948720042665587
87,distortion,0.7134050092263142,0.2
88,precision,6.3627524364653185,10.0
89,risk_aversion,0.7290255232920937,0.99
