,Parameter,Used to simulate,Recovered
0,distortion,0.7459989608337325,0.7524102064443892
1,precision,9.275127757860997,7.8645809280174355
2,risk_aversion,-0.17516841974112463,-0.27634891230566
3,distortion,1.3345549713922393,0.9868168848651161
4,precision,2.306806203358738,2.2075891997359687
5,risk_aversion,0.8123296368319595,0.6480774529723152
6,distortion,0.28036132608985087,0.5392056884196149
7,precision,3.721297534484624,3.160194618232888
8,risk_aversion,0.3678461027701876,0.4704535751011356
9,distortion,1.529246665415006,1.6330372696164726
10,precision,3.0550741368976415,3.711111876651194
11,risk_aversion,-0.5829922498325417,-0.7236833346435076
12,distortion,0.7802406632140035,0.7449088895916889
13,precision,2.0774829790397966,2.5507099243054148
14,risk_aversion,-0.5820304053698048,-0.7414334947858244
15,distortion,0.8912078509881975,0.824715597593319
16,precision,2.463963479310896,2.7189248207729055
17,risk_aversion,0.6425655937565762,0.5642776306198262
18,distortion,1.2941827374398105,1.041901985585848
19,precision,3.7884616487559963,4.287884690762955
20,risk_aversion,-0.39351580672630904,-0.5164736831751369
21,distortion,1.094390163032634,0.9940867037182346
22,precision,3.362515322634868,3.5599643728140586
23,risk_aversion,0.7450661287495617,0.8627217205098978
24,distortion,1.7534540214300762,1.301315206020472
25,precision,8.223449438986433,6.753074765060638
26,risk_aversion,-0.25428627237541834,-0.25781732297011783
27,distortion,0.9613136355394052,1.17319898606512
28,precision,5.4295616039745465,5.180311415326644
29,risk_aversion,-0.0748931266586943,-0.006137087494058602
30,distortion,0.5113342831810177,0.4456234510832106
31,precision,5.958911551196404,5.842187365453713
32,risk_aversion,-0.8461689549342022,-0.8631979108494588
33,distortion,1.7194505260765538,1.6433438887383864
34,precision,3.438935103460845,3.2417610663475798
35,risk_aversion,-0.46328276252692635,-0.45492336535584327
36,distortion,0.535183079074576,0.48915600515698343
37,precision,0.7866253632837789,0.8220481897524614
38,risk_aversion,0.3436580962851503,0.29702729978760883
39,distortion,1.6954788862367223,1.6236434321000868
40,precision,3.4407648159212685,2.895091301378003
41,risk_aversion,0.2889386787161341,0.3043664611720868
42,distortion,1.6604783341474472,1.7475447202116856
43,precision,2.249231286620343,2.214241766643068
44,risk_aversion,-0.9114117454655006,-0.8667394042346291
45,distortion,0.4950954363551221,0.4858114605292709
46,precision,4.469872981197337,3.523938641823728
47,risk_aversion,0.8841270198303439,0.599569282027814
48,distortion,1.2063982992436935,0.898150787450373
49,precision,5.413912210096716,3.0151420931853146
50,risk_aversion,-0.2856055779608576,-0.13788209537278726
51,distortion,1.5693791626109133,0.9523898276391303
52,precision,4.445531365357875,2.9543390575875543
53,risk_aversion,0.07377734494729782,0.26991927948103506
54,distortion,0.21778642004625262,0.5429784965630478
55,precision,7.2567849072590525,4.858933390563303
56,risk_aversion,0.8725833779877132,0.9020297980550737
57,distortion,1.589676204589496,1.2587227172226358
58,precision,8.272485974196686,8.201399298574794
59,risk_aversion,-0.2985965879509146,-0.2943898719505037
60,distortion,1.7965754479881597,1.3892237990550447
61,precision,1.4884179959341486,1.2445336435121306
62,risk_aversion,0.40201109398636414,0.37296090823377853
63,distortion,0.8699739801862443,0.871299052072748
64,precision,0.2270622917586844,0.22226370263810324
65,risk_aversion,-0.6436993033181496,-0.6349890549115484
66,distortion,1.7654470471382717,1.8
67,precision,2.811296388127039,3.0445265072253136
68,risk_aversion,0.39373754322921717,0.5967660985918241
69,distortion,0.6086604631594259,0.2557047943820147
70,precision,3.7684113243931825,3.1847806473456397
71,risk_aversion,0.7192884560173254,0.9225860472857685
72,distortion,1.1761995027506515,0.9821105277863333
73,precision,5.723643537283648,3.7899045323281078
74,risk_aversion,0.06731629711929732,0.25560761250988195
75,distortion,0.701105552408414,0.3346971225067032
76,precision,6.769556895244402,5.413227967610724
77,risk_aversion,0.6753954523626617,0.5038343916603258
78,distortion,1.6918138929021547,1.6855053367584247
79,precision,2.2466861549249466,2.075719593338221
80,risk_aversion,-0.6884242461763964,-0.6403129904860451
81,distortion,0.969937490735358,1.0324116310850224
82,precision,4.572772758533287,4.919806220215874
83,risk_aversion,-0.6012061476823649,-0.6940379580334524
84,distortion,0.9073071321343498,0.8995028757644365
85,precision,0.17006953517221265,0.17277854547007607
86,risk_aversion,-0.3270642014636985,-0.3191837605328036
87,distortion,0.4173477685592628,0.383075228032162
88,precision,3.62766062953699,3.1243779402392433
89,risk_aversion,0.7884687671691284,0.757912658459177
